Store_ID,Date,Department,Product_Category,Units_Sold,Price_per_Unit,Promotion,Holiday,Temperature,Fuel_Price,Total_Sales
52,2024-02-06,Clothing,Dairy,27,108.59044689297104,False,False,75.19344926999976,3.135132717796544,2931.942066110218
93,2023-02-14,Grocery,Furniture,21,98.70902933491412,True,False,47.28206341276562,3.0787962728721086,2072.8896160331965
15,2023-04-18,Home Goods,Produce,23,162.34806454103074,True,False,23.184523728300153,3.299482575728246,3734.005484443707
72,2023-08-07,Grocery,TVs,7,87.58008428391331,True,False,77.78913656548043,3.8417254119547444,613.0605899873932
61,2024-03-18,Clothing,Laptops,48,161.39638255794182,False,False,41.185220923816814,3.594275692862702,7747.026362781207
21,2023-11-14,Home Goods,Kitchenware,19,24.62912216787189,True,False,47.040693538195576,2.6586174030640617,467.95332118956594
83,2023-11-11,Clothing,Pants,9,129.08060903015502,True,False,88.205834944872,3.564649659399429,1161.7254812713952
87,2023-06-26,Grocery,Pants,12,142.00447602763703,True,False,21.08589187241376,4.615695636281464,1704.0537123316444
75,2023-08-16,Electronics,Furniture,46,180.3239922476398,True,False,70.49270752018569,2.751760293668036,8294.903643391432
75,2023-07-10,Clothing,Laptops,30,48.743164149658014,True,False,86.42189234182537,4.860903998329138,1462.2949244897404
88,2023-06-09,Clothing,Shirts,7,122.82287661810605,True,False,24.47017076470949,3.2714759269124682,859.7601363267423
24,2024-01-29,Electronics,Produce,2,89.4850299193985,False,False,80.6253917055603,2.5363390735037568,178.970059838797
3,2023-09-24,Grocery,Furniture,17,79.64047283108566,True,True,49.136918547522676,3.132888947660793,1353.8880381284562
22,2023-12-24,Clothing,Dairy,11,25.809143266331706,True,False,81.45975610741424,2.6741490513867587,283.90057592964877
53,2023-11-22,Grocery,TVs,12,31.175499466013736,True,False,41.579221502329595,3.91595336514168,374.10599359216485
2,2024-01-14,Grocery,Pants,3,168.21274998229103,False,False,88.78639043499496,3.290812818876374,504.6382499468731
88,2023-07-09,Grocery,TVs,21,151.2019193034846,True,False,65.29345867699791,4.517191534811676,3175.240305373177
30,2023-06-24,Electronics,Produce,14,79.5565204067646,False,False,63.89632523061499,4.33156272030938,1113.7912856947046
38,2023-10-17,Grocery,Laptops,15,166.55488337097802,False,False,76.4132368016916,3.6714911487169397,2498.32325056467
2,2023-12-23,Grocery,Laptops,42,20.749406040597798,False,False,50.56102487494233,3.901504027103261,871.4750537051075
64,2023-05-25,Home Goods,Furniture,41,126.83091382146789,True,False,38.10687424758615,4.02192400245255,5200.067466680183
60,2023-08-20,Home Goods,Furniture,10,174.2943302792862,False,False,38.40511349033609,3.176761718488738,1742.9433027928621
21,2023-12-26,Home Goods,Laptops,36,168.57852505109364,True,True,43.1422625578674,2.8484409329854685,6068.826901839371
